Time,GSR
'0:0:12.4,0.8663
'0:0:12.5,0.8663
'0:0:12.6,0.8661
'0:0:12.7,0.8662
'0:0:12.8,0.8662
'0:0:12.9,0.8663
'0:0:13.0,0.8664
'0:0:13.1,0.8662
'0:0:13.2,0.8663
'0:0:13.3,0.8664
'0:0:13.4,0.8663
'0:0:13.5,0.8664
'0:0:13.6,0.8660
'0:0:13.7,0.8661
'0:0:13.8,0.8663
'0:0:13.9,0.8660
'0:0:14.0,0.8664
'0:0:14.1,0.8666
'0:0:14.2,0.8665
'0:0:14.3,0.8666
'0:0:14.4,0.8664
'0:0:14.5,0.8664
'0:0:14.6,0.8664
'0:0:14.7,0.8662
'0:0:14.8,0.8665
'0:0:14.9,0.8665
'0:0:15.0,0.8665
'0:0:15.1,0.8666
'0:0:15.2,0.8665
'0:0:15.3,0.8664
'0:0:15.4,0.8666
'0:0:15.5,0.8666
'0:0:15.6,0.8664
'0:0:15.7,0.8663
'0:0:15.8,0.8666
'0:0:15.9,0.8666
'0:0:16.0,0.8665
'0:0:16.1,0.8666
'0:0:16.2,0.8667
'0:0:16.3,0.8666
'0:0:16.4,0.8666
'0:0:16.5,0.8666
'0:0:16.6,0.8668
'0:0:16.7,0.8669
'0:0:16.8,0.8669
'0:0:16.9,0.8668
'0:0:17.0,0.8669
'0:0:17.1,0.8670
'0:0:17.2,0.8668
'0:0:17.3,0.8669
'0:0:17.4,0.8668
'0:0:17.5,0.8669
'0:0:17.6,0.8666
'0:0:17.7,0.8667
'0:0:17.8,0.8670
'0:0:17.9,0.8670
'0:0:18.0,0.8668
'0:0:18.1,0.8670
'0:0:18.2,0.8671
'0:0:18.3,0.8669
'0:0:18.4,0.8668
'0:0:18.5,0.8670
'0:0:18.6,0.8672
'0:0:18.7,0.8671
'0:0:18.8,0.8671
'0:0:18.9,0.8673
'0:0:19.0,0.8673
'0:0:19.1,0.8673
'0:0:19.2,0.8672
'0:0:19.3,0.8673
'0:0:19.4,0.8673
'0:0:19.5,0.8673
'0:0:19.6,0.8674
'0:0:19.7,0.8672
'0:0:19.8,0.8673
'0:0:19.9,0.8673
'0:0:20.0,0.8674
'0:0:20.1,0.8673
'0:0:20.2,0.8673
'0:0:20.3,0.8673
'0:0:20.4,0.8673
'0:0:20.5,0.8673
'0:0:20.6,0.8673
'0:0:20.7,0.8676
'0:0:20.8,0.8677
'0:0:20.9,0.8674
'0:0:21.0,0.8674
'0:0:21.1,0.8676
'0:0:21.2,0.8677
'0:0:21.3,0.8675
'0:0:21.4,0.8675
'0:0:21.5,0.8678
'0:0:21.6,0.8679
'0:0:21.7,0.8678
'0:0:21.8,0.8680
'0:0:21.9,0.8678
'0:0:22.0,0.8677
'0:0:22.1,0.8677
'0:0:22.2,0.8677
'0:0:22.3,0.8677
'0:0:22.4,0.8677
'0:0:22.5,0.8678
'0:0:22.6,0.8679
'0:0:22.7,0.8681
'0:0:22.8,0.8680
'0:0:22.9,0.8680
'0:0:23.0,0.8680
'0:0:23.1,0.8679
'0:0:23.2,0.8681
'0:0:23.3,0.8681
'0:0:23.4,0.8680
'0:0:23.5,0.8681
'0:0:23.6,0.8682
'0:0:23.7,0.8682
'0:0:23.8,0.8685
'0:0:23.9,0.8685
'0:0:24.0,0.8686
'0:0:24.1,0.8684
'0:0:24.2,0.8684
'0:0:24.3,0.8681
'0:0:24.4,0.8682
'0:0:24.5,0.8683
'0:0:24.6,0.8684
'0:0:24.7,0.8683
'0:0:24.8,0.8684
'0:0:24.9,0.8686
'0:0:25.0,0.8682
'0:0:25.1,0.8682
'0:0:25.2,0.8683
'0:0:25.3,0.8684
'0:0:25.4,0.8684
'0:0:25.5,0.8683
'0:0:25.6,0.8685
'0:0:25.7,0.8685
'0:0:25.8,0.8685
'0:0:25.9,0.8685
'0:0:26.0,0.8684
'0:0:26.1,0.8685
'0:0:26.2,0.8686
'0:0:26.3,0.8685
'0:0:26.4,0.8684
'0:0:26.5,0.8686
'0:0:26.6,0.8686
'0:0:26.7,0.8688
'0:0:26.8,0.8688
'0:0:26.9,0.8685
'0:0:27.0,0.8687
'0:0:27.1,0.8687
'0:0:27.2,0.8688
'0:0:27.3,0.8687
'0:0:27.4,0.8687
'0:0:27.5,0.8689
'0:0:27.6,0.8690
'0:0:27.7,0.8685
'0:0:27.8,0.8689
'0:0:27.9,0.8687
'0:0:28.0,0.8690
'0:0:28.1,0.8689
'0:0:28.2,0.8687
'0:0:28.3,0.8687
'0:0:28.4,0.8688
'0:0:28.5,0.8689
'0:0:28.6,0.8691
'0:0:28.7,0.8687
'0:0:28.8,0.8688
'0:0:28.9,0.8689
'0:0:29.0,0.8689
'0:0:29.1,0.8689
'0:0:29.2,0.8690
'0:0:29.3,0.8690
'0:0:29.4,0.8687
'0:0:29.5,0.8687
'0:0:29.6,0.8687
'0:0:29.7,0.8688
'0:0:29.8,0.8688
'0:0:29.9,0.8688
'0:0:30.0,0.8691
'0:0:30.1,0.8691
'0:0:30.2,0.8692
'0:0:30.3,0.8691
'0:0:30.4,0.8693
'0:0:30.5,0.8693
'0:0:30.6,0.8691
'0:0:30.7,0.8692
'0:0:30.8,0.8693
'0:0:30.9,0.8692
'0:0:31.0,0.8693
'0:0:31.1,0.8693
'0:0:31.2,0.8693
'0:0:31.3,0.8694
'0:0:31.4,0.8694
'0:0:31.5,0.8693
'0:0:31.6,0.8693
'0:0:31.7,0.8693
'0:0:31.8,0.8692
'0:0:31.9,0.8693
'0:0:32.0,0.8694
'0:0:32.1,0.8694
'0:0:32.2,0.8694
'0:0:32.3,0.8695
'0:0:32.4,0.8695
'0:0:32.5,0.8696
'0:0:32.6,0.8696
'0:0:32.7,0.8696
'0:0:32.8,0.8697
'0:0:32.9,0.8694
'0:0:33.0,0.8695
'0:0:33.1,0.8696
'0:0:33.2,0.8694
'0:0:33.3,0.8694
'0:0:33.4,0.8694
'0:0:33.5,0.8696
'0:0:33.6,0.8695
'0:0:33.7,0.8696
'0:0:33.8,0.8696
'0:0:33.9,0.8697
'0:0:34.0,0.8698
'0:0:34.1,0.8699
'0:0:34.2,0.8698
'0:0:34.3,0.8697
'0:0:34.4,0.8698
'0:0:34.5,0.8699
'0:0:34.6,0.8699
'0:0:34.7,0.8697
'0:0:34.8,0.8699
'0:0:34.9,0.8699
'0:0:35.0,0.8700
'0:0:35.1,0.8699
'0:0:35.2,0.8699
'0:0:35.3,0.8701
'0:0:35.4,0.8699
'0:0:35.5,0.8699
'0:0:35.6,0.8700
'0:0:35.7,0.8698
'0:0:35.8,0.8699
'0:0:35.9,0.8700
'0:0:36.0,0.8701
'0:0:36.1,0.8699
'0:0:36.2,0.8701
'0:0:36.3,0.8701
'0:0:36.4,0.8700
'0:0:36.5,0.8701
'0:0:36.6,0.8699
'0:0:36.7,0.8700
'0:0:36.8,0.8701
'0:0:36.9,0.8700
'0:0:37.0,0.8701
'0:0:37.1,0.8701
'0:0:37.2,0.8702
'0:0:37.3,0.8702
'0:0:37.4,0.8701
'0:0:37.5,0.8703
'0:0:37.6,0.8702
'0:0:37.7,0.8701
'0:0:37.8,0.8702
'0:0:37.9,0.8704
'0:0:38.0,0.8705
'0:0:38.1,0.8705
'0:0:38.2,0.8706
'0:0:38.3,0.8705
'0:0:38.4,0.8701
'0:0:38.5,0.8703
'0:0:38.6,0.8702
'0:0:38.7,0.8703
'0:0:38.8,0.8707
'0:0:38.9,0.8705
'0:0:39.0,0.8704
'0:0:39.1,0.8705
'0:0:39.2,0.8706
'0:0:39.3,0.8704
'0:0:39.4,0.8706
'0:0:39.5,0.8705
'0:0:39.6,0.8707
'0:0:39.7,0.8706
'0:0:39.8,0.8707
'0:0:39.9,0.8706
'0:0:40.0,0.8707
'0:0:40.1,0.8706
'0:0:40.2,0.8708
'0:0:40.3,0.8707
'0:0:40.4,0.8708
'0:0:40.5,0.8706
'0:0:40.6,0.8710
'0:0:40.7,0.8708
'0:0:40.8,0.8706
'0:0:40.9,0.8708
'0:0:41.0,0.8706
'0:0:41.1,0.8708
'0:0:41.2,0.8708
'0:0:41.3,0.8707
'0:0:41.4,0.8708
'0:0:41.5,0.8708
'0:0:41.6,0.8709
'0:0:41.7,0.8709
'0:0:41.8,0.8708
'0:0:41.9,0.8710
'0:0:42.0,0.8709
'0:0:42.1,0.8708
'0:0:42.2,0.8711
'0:0:42.3,0.8710
'0:0:42.4,0.8711
'0:0:42.5,0.8711
'0:0:42.6,0.8711
'0:0:42.7,0.8709
'0:0:42.8,0.8709
'0:0:42.9,0.8709
'0:0:43.0,0.8710
'0:0:43.1,0.8711
'0:0:43.2,0.8710
'0:0:43.3,0.8710
'0:0:43.4,0.8713
'0:0:43.5,0.8712
'0:0:43.6,0.8712
'0:0:43.7,0.8710
'0:0:43.8,0.8711
'0:0:43.9,0.8714
'0:0:44.0,0.8714
'0:0:44.1,0.8714
'0:0:44.2,0.8712
'0:0:44.3,0.8711
'0:0:44.4,0.8710
'0:0:44.5,0.8711
'0:0:44.6,0.8712
'0:0:44.7,0.8711
'0:0:44.8,0.8713
'0:0:44.9,0.8715
'0:0:45.0,0.8715
'0:0:45.1,0.8714
'0:0:45.2,0.8713
'0:0:45.3,0.8714
'0:0:45.4,0.8714
'0:0:45.5,0.8714
'0:0:45.6,0.8713
'0:0:45.7,0.8715
'0:0:45.8,0.8716
'0:0:45.9,0.8714
'0:0:46.0,0.8716
'0:0:46.1,0.8718
'0:0:46.2,0.8717
'0:0:46.3,0.8717
'0:0:46.4,0.8716
'0:0:46.5,0.8715
'0:0:46.6,0.8718
'0:0:46.7,0.8717
'0:0:46.8,0.8718
'0:0:46.9,0.8716
'0:0:47.0,0.8715
'0:0:47.1,0.8718
'0:0:47.2,0.8720
'0:0:47.3,0.8715
'0:0:47.4,0.8718
'0:0:47.5,0.8719
'0:0:47.6,0.8721
'0:0:47.7,0.8720
'0:0:47.8,0.8722
'0:0:47.9,0.8722
'0:0:48.0,0.8718
'0:0:48.1,0.8718
'0:0:48.2,0.8720
'0:0:48.3,0.8722
'0:0:48.4,0.8719
'0:0:48.5,0.8721
'0:0:48.6,0.8722
'0:0:48.7,0.8722
'0:0:48.8,0.8723
'0:0:48.9,0.8723
'0:0:49.0,0.8721
'0:0:49.1,0.8722
'0:0:49.2,0.8723
'0:0:49.3,0.8724
'0:0:49.4,0.8723
'0:0:49.5,0.8723
'0:0:49.6,0.8726
'0:0:49.7,0.8723
'0:0:49.8,0.8721
'0:0:49.9,0.8723
'0:0:50.0,0.8723
'0:0:50.1,0.8723
'0:0:50.2,0.8726
'0:0:50.3,0.8725
'0:0:50.4,0.8723
'0:0:50.5,0.8724
'0:0:50.6,0.8723
'0:0:50.7,0.8724
'0:0:50.8,0.8727
'0:0:50.9,0.8727
'0:0:51.0,0.8726
'0:0:51.1,0.8724
'0:0:51.2,0.8728
'0:0:51.3,0.8726
'0:0:51.4,0.8724
'0:0:51.5,0.8725
'0:0:51.6,0.8727
'0:0:51.7,0.8727
'0:0:51.8,0.8728
'0:0:51.9,0.8729
'0:0:52.0,0.8731
'0:0:52.1,0.8730
'0:0:52.2,0.8728
'0:0:52.3,0.8730
'0:0:52.4,0.8728
'0:0:52.5,0.8730
'0:0:52.6,0.8731
'0:0:52.7,0.8732
'0:0:52.8,0.8732
'0:0:52.9,0.8729
'0:0:53.0,0.8730
'0:0:53.1,0.8730
'0:0:53.2,0.8734
'0:0:53.3,0.8733
'0:0:53.4,0.8734
'0:0:53.5,0.8730
'0:0:53.6,0.8731
'0:0:53.7,0.8731
'0:0:53.8,0.8733
'0:0:53.9,0.8733
'0:0:54.0,0.8731
'0:0:54.1,0.8730
'0:0:54.2,0.8731
'0:0:54.3,0.8732
'0:0:54.4,0.8732
'0:0:54.5,0.8734
'0:0:54.6,0.8733
'0:0:54.7,0.8733
'0:0:54.8,0.8733
'0:0:54.9,0.8732
'0:0:55.0,0.8733
'0:0:55.1,0.8733
'0:0:55.2,0.8735
'0:0:55.3,0.8737
'0:0:55.4,0.8736
'0:0:55.5,0.8734
'0:0:55.6,0.8734
'0:0:55.7,0.8733
'0:0:55.8,0.8737
'0:0:55.9,0.8737
'0:0:56.0,0.8736
'0:0:56.1,0.8737
'0:0:56.2,0.8737
'0:0:56.3,0.8737
'0:0:56.4,0.8737
'0:0:56.5,0.8736
'0:0:56.6,0.8737
'0:0:56.7,0.8737
'0:0:56.8,0.8739
'0:0:56.9,0.8739
'0:0:57.0,0.8735
'0:0:57.1,0.8737
'0:0:57.2,0.8737
'0:0:57.3,0.8737
'0:0:57.4,0.8738
'0:0:57.5,0.8739
'0:0:57.6,0.8737
'0:0:57.7,0.8737
'0:0:57.8,0.8740
'0:0:57.9,0.8740
'0:0:58.0,0.8739
'0:0:58.1,0.8739
'0:0:58.2,0.8740
'0:0:58.3,0.8741
'0:0:58.4,0.8737
'0:0:58.5,0.8741
'0:0:58.6,0.8741
'0:0:58.7,0.8740
'0:0:58.8,0.8741
'0:0:58.9,0.8741
'0:0:59.0,0.8739
'0:0:59.1,0.8740
'0:0:59.2,0.8739
'0:0:59.3,0.8740
'0:0:59.4,0.8742
'0:0:59.5,0.8744
'0:0:59.6,0.8744
'0:0:59.7,0.8743
'0:0:59.8,0.8743
'0:0:59.9,0.8743
'0:1:0.0,0.8745
'0:1:0.1,0.8744
'0:1:0.2,0.8741
'0:1:0.3,0.8745
'0:1:0.4,0.8745
'0:1:0.5,0.8744
'0:1:0.6,0.8745
'0:1:0.7,0.8745
'0:1:0.8,0.8746
'0:1:0.9,0.8745
'0:1:1.0,0.8743
'0:1:1.1,0.8745
'0:1:1.2,0.8746
'0:1:1.3,0.8746
'0:1:1.4,0.8748
'0:1:1.5,0.8745
'0:1:1.6,0.8747
'0:1:1.7,0.8744
'0:1:1.8,0.8746
'0:1:1.9,0.8745
'0:1:2.0,0.8746
'0:1:2.1,0.8747
'0:1:2.2,0.8748
'0:1:2.3,0.8748
'0:1:2.4,0.8747
'0:1:2.5,0.8749
'0:1:2.6,0.8746
'0:1:2.7,0.8747
'0:1:2.8,0.8749
'0:1:2.9,0.8749
'0:1:3.0,0.8750
'0:1:3.1,0.8750
'0:1:3.2,0.8750
'0:1:3.3,0.8752
'0:1:3.4,0.8752
'0:1:3.5,0.8752
'0:1:3.6,0.8751
'0:1:3.7,0.8752
'0:1:3.8,0.8751
'0:1:3.9,0.8752
'0:1:4.0,0.8752
'0:1:4.1,0.8752
'0:1:4.2,0.8752
'0:1:4.3,0.8753
'0:1:4.4,0.8752
'0:1:4.5,0.8752
'0:1:4.6,0.8752
'0:1:4.7,0.8752
'0:1:4.8,0.8752
'0:1:4.9,0.8753
'0:1:5.0,0.8754
'0:1:5.1,0.8754
'0:1:5.2,0.8752
'0:1:5.3,0.8752
'0:1:5.4,0.8754
'0:1:5.5,0.8756
'0:1:5.6,0.8757
'0:1:5.7,0.8757
'0:1:5.8,0.8757
'0:1:5.9,0.8756
'0:1:6.0,0.8756
'0:1:6.1,0.8754
'0:1:6.2,0.8753
'0:1:6.3,0.8755
'0:1:6.4,0.8757
'0:1:6.5,0.8753
'0:1:6.6,0.8755
'0:1:6.7,0.8758
'0:1:6.8,0.8757
'0:1:6.9,0.8756
'0:1:7.0,0.8757
'0:1:7.1,0.8757
'0:1:7.2,0.8758
'0:1:7.3,0.8757
'0:1:7.4,0.8759
'0:1:7.5,0.8758
'0:1:7.6,0.8757
'0:1:7.7,0.8756
'0:1:7.8,0.8756
'0:1:7.9,0.8758
'0:1:8.0,0.8758
'0:1:8.1,0.8757
'0:1:8.2,0.8759
'0:1:8.3,0.8757
'0:1:8.4,0.8760
'0:1:8.5,0.8761
'0:1:8.6,0.8759
'0:1:8.7,0.8758
'0:1:8.8,0.8759
'0:1:8.9,0.8759
'0:1:9.0,0.8761
'0:1:9.1,0.8760
'0:1:9.2,0.8759
'0:1:9.3,0.8759
'0:1:9.4,0.8759
'0:1:9.5,0.8760
'0:1:9.6,0.8760
'0:1:9.7,0.8759
'0:1:9.8,0.8759
'0:1:9.9,0.8760
'0:1:10.0,0.8763
'0:1:10.1,0.8762
'0:1:10.2,0.8763
'0:1:10.3,0.8763
'0:1:10.4,0.8763
'0:1:10.5,0.8762
'0:1:10.6,0.8761
'0:1:10.7,0.8764
'0:1:10.8,0.8763
'0:1:10.9,0.8761
'0:1:11.0,0.8762
'0:1:11.1,0.8762
'0:1:11.2,0.8763
'0:1:11.3,0.8763
'0:1:11.4,0.8765
'0:1:11.5,0.8764
'0:1:11.6,0.8763
'0:1:11.7,0.8764
'0:1:11.8,0.8764
'0:1:11.9,0.8765
'0:1:12.0,0.8765
'0:1:12.1,0.8766
'0:1:12.2,0.8766
'0:1:12.3,0.8767
'0:1:12.4,0.8767
'0:1:12.5,0.8766
'0:1:12.6,0.8764
'0:1:12.7,0.8765
'0:1:12.8,0.8767
'0:1:12.9,0.8767
'0:1:13.0,0.8765
'0:1:13.1,0.8765
'0:1:13.2,0.8765
'0:1:13.3,0.8767
'0:1:13.4,0.8767
'0:1:13.5,0.8767
'0:1:13.6,0.8767
'0:1:13.7,0.8767
'0:1:13.8,0.8768
'0:1:13.9,0.8767
'0:1:14.0,0.8766
'0:1:14.1,0.8767
'0:1:14.2,0.8766
'0:1:14.3,0.8767
'0:1:14.4,0.8767
'0:1:14.5,0.8768
'0:1:14.6,0.8769
'0:1:14.7,0.8768
'0:1:14.8,0.8769
'0:1:14.9,0.8770
'0:1:15.0,0.8769
'0:1:15.1,0.8769
'0:1:15.2,0.8769
'0:1:15.3,0.8769
'0:1:15.4,0.8768
'0:1:15.5,0.8771
'0:1:15.6,0.8767
'0:1:15.7,0.8768
'0:1:15.8,0.8771
'0:1:15.9,0.8769
'0:1:16.0,0.8770
'0:1:16.1,0.8772
'0:1:16.2,0.8774
'0:1:16.3,0.8774
'0:1:16.4,0.8771
'0:1:16.5,0.8773
'0:1:16.6,0.8772
'0:1:16.7,0.8772
'0:1:16.8,0.8772
'0:1:16.9,0.8770
'0:1:17.0,0.8772
'0:1:17.1,0.8774
'0:1:17.2,0.8774
'0:1:17.3,0.8774
'0:1:17.4,0.8773
'0:1:17.5,0.8773
'0:1:17.6,0.8774
'0:1:17.7,0.8774
'0:1:17.8,0.8774
'0:1:17.9,0.8775
'0:1:18.0,0.8774
'0:1:18.1,0.8775
'0:1:18.2,0.8775
'0:1:18.3,0.8774
'0:1:18.4,0.8774
'0:1:18.5,0.8775
'0:1:18.6,0.8774
'0:1:18.7,0.8774
'0:1:18.8,0.8776
'0:1:18.9,0.8776
'0:1:19.0,0.8776
'0:1:19.1,0.8776
'0:1:19.2,0.8776
'0:1:19.3,0.8776
'0:1:19.4,0.8777
'0:1:19.5,0.8778
'0:1:19.6,0.8777
'0:1:19.7,0.8776
'0:1:19.8,0.8779
'0:1:19.9,0.8779
'0:1:20.0,0.8777
'0:1:20.1,0.8778
'0:1:20.2,0.8777
'0:1:20.3,0.8777
'0:1:20.4,0.8777
'0:1:20.5,0.8777
'0:1:20.6,0.8779
'0:1:20.7,0.8778
'0:1:20.8,0.8780
'0:1:20.9,0.8780
'0:1:21.0,0.8780
'0:1:21.1,0.8781
'0:1:21.2,0.8782
'0:1:21.3,0.8782
'0:1:21.4,0.8781
'0:1:21.5,0.8782
'0:1:21.6,0.8783
'0:1:21.7,0.8781
'0:1:21.8,0.8780
'0:1:21.9,0.8782
'0:1:22.0,0.8781
'0:1:22.1,0.8782
'0:1:22.2,0.8780
'0:1:22.3,0.8782
'0:1:22.4,0.8782
'0:1:22.5,0.8781
'0:1:22.6,0.8782
'0:1:22.7,0.8782
'0:1:22.8,0.8783
'0:1:22.9,0.8781
'0:1:23.0,0.8784
'0:1:23.1,0.8783
'0:1:23.2,0.8784
'0:1:23.3,0.8784
'0:1:23.4,0.8784
'0:1:23.5,0.8783
'0:1:23.6,0.8784
'0:1:23.7,0.8784
'0:1:23.8,0.8785
'0:1:23.9,0.8785
'0:1:24.0,0.8785
'0:1:24.1,0.8785
'0:1:24.2,0.8785
'0:1:24.3,0.8783
'0:1:24.4,0.8786
'0:1:24.5,0.8789
'0:1:24.6,0.8786
'0:1:24.7,0.8787
'0:1:24.8,0.8789
'0:1:24.9,0.8788
'0:1:25.0,0.8785
'0:1:25.1,0.8785
'0:1:25.2,0.8789
'0:1:25.3,0.8789
'0:1:25.4,0.8787
'0:1:25.5,0.8789
'0:1:25.6,0.8786
'0:1:25.7,0.8788
'0:1:25.8,0.8788
'0:1:25.9,0.8789
'0:1:26.0,0.8790
'0:1:26.1,0.8789
'0:1:26.2,0.8789
'0:1:26.3,0.8789
'0:1:26.4,0.8790
'0:1:26.5,0.8791
'0:1:26.6,0.8790
'0:1:26.7,0.8791
'0:1:26.8,0.8794
'0:1:26.9,0.8794
'0:1:27.0,0.8789
'0:1:27.1,0.8792
'0:1:27.2,0.8792
'0:1:27.3,0.8793
'0:1:27.4,0.8792
'0:1:27.5,0.8791
'0:1:27.6,0.8791
'0:1:27.7,0.8791
'0:1:27.8,0.8793
'0:1:27.9,0.8796
'0:1:28.0,0.8794
'0:1:28.1,0.8795
'0:1:28.2,0.8791
'0:1:28.3,0.8794
'0:1:28.4,0.8792
'0:1:28.5,0.8793
'0:1:28.6,0.8793
'0:1:28.7,0.8795
'0:1:28.8,0.8793
'0:1:28.9,0.8794
'0:1:29.0,0.8795
'0:1:29.1,0.8794
'0:1:29.2,0.8795
'0:1:29.3,0.8797
'0:1:29.4,0.8796
'0:1:29.5,0.8797
'0:1:29.6,0.8795
'0:1:29.7,0.8795
'0:1:29.8,0.8797
'0:1:29.9,0.8797
'0:1:30.0,0.8796
'0:1:30.1,0.8796
'0:1:30.2,0.8798
'0:1:30.3,0.8798
'0:1:30.4,0.8798
'0:1:30.5,0.8798
'0:1:30.6,0.8800
'0:1:30.7,0.8804
'0:1:30.8,0.8811
'0:1:30.9,0.8804
'0:1:31.0,0.8796
'0:1:31.1,0.8795
'0:1:31.2,0.8798
'0:1:31.3,0.8798
'0:1:31.4,0.8799
'0:1:31.5,0.8799
'0:1:31.6,0.8802
'0:1:31.7,0.8800
'0:1:31.8,0.8800
'0:1:31.9,0.8801
'0:1:32.0,0.8800
'0:1:32.1,0.8801
'0:1:32.2,0.8801
'0:1:32.3,0.8800
'0:1:32.4,0.8802
'0:1:32.5,0.8802
'0:1:32.6,0.8804
'0:1:32.7,0.8802
'0:1:32.8,0.8801
'0:1:32.9,0.8804
'0:1:33.0,0.8803
'0:1:33.1,0.8801
'0:1:33.2,0.8801
'0:1:33.3,0.8804
'0:1:33.4,0.8804
'0:1:33.5,0.8803
'0:1:33.6,0.8804
'0:1:33.7,0.8805
'0:1:33.8,0.8805
'0:1:33.9,0.8805
'0:1:34.0,0.8805
'0:1:34.1,0.8806
'0:1:34.2,0.8806
'0:1:34.3,0.8808
'0:1:34.4,0.8807
'0:1:34.5,0.8806
'0:1:34.6,0.8807
'0:1:34.7,0.8807
'0:1:34.8,0.8807
'0:1:34.9,0.8807
'0:1:35.0,0.8809
'0:1:35.1,0.8811
'0:1:35.2,0.8812
'0:1:35.3,0.8810
'0:1:35.4,0.8812
'0:1:35.5,0.8809
'0:1:35.6,0.8809
'0:1:35.7,0.8810
'0:1:35.8,0.8810
'0:1:35.9,0.8812
'0:1:36.0,0.8812
'0:1:36.1,0.8810
'0:1:36.2,0.8812
'0:1:36.3,0.8811
'0:1:36.4,0.8812
'0:1:36.5,0.8811
'0:1:36.6,0.8812
'0:1:36.7,0.8813
'0:1:36.8,0.8815
'0:1:36.9,0.8813
'0:1:37.0,0.8813
'0:1:37.1,0.8813
'0:1:37.2,0.8812
'0:1:37.3,0.8812
'0:1:37.4,0.8812
'0:1:37.5,0.8812
'0:1:37.6,0.8812
'0:1:37.7,0.8815
'0:1:37.8,0.8814
'0:1:37.9,0.8814
'0:1:38.0,0.8815
'0:1:38.1,0.8815
'0:1:38.2,0.8816
'0:1:38.3,0.8817
'0:1:38.4,0.8816
'0:1:38.5,0.8815
'0:1:38.6,0.8817
'0:1:38.7,0.8819
'0:1:38.8,0.8819
'0:1:38.9,0.8819
'0:1:39.0,0.8818
'0:1:39.1,0.8819
'0:1:39.2,0.8819
'0:1:39.3,0.8816
'0:1:39.4,0.8819
'0:1:39.5,0.8818
'0:1:39.6,0.8818
'0:1:39.7,0.8818
'0:1:39.8,0.8819
'0:1:39.9,0.8820
'0:1:40.0,0.8819
'0:1:40.1,0.8819
'0:1:40.2,0.8819
'0:1:40.3,0.8821
'0:1:40.4,0.8821
'0:1:40.5,0.8822
'0:1:40.6,0.8821
